nama,alamat,lat,lon,gambar,akreditasi,deskripsi
SMP Negeri 1 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.592541,103.618104,smpn1.JPG,A,deskripsi saja
SMP Negeri 2 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.597489,103.615378,smpn2.JPG,A,deskripsi saja
SMP Negeri 3 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.580164,103.601751,smpn3.JPG,A,deskripsi saja
SMP Negeri 4 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.653612,103.639865,smpn4.JPG,A,deskripsi saja
SMP Negeri 5 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.605007,103.604789,smpn5.JPG,A,deskripsi saja
SMP Negeri 6 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.619865,103.639724,smpn6.JPG,A,deskripsi saja
SMP Negeri 7 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.609140,103.575769,smpn7.JPG,A,deskripsi saja
SMP Negeri 8 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.622921,103.598313,smpn8.JPG,A,deskripsi saja
SMP Negeri 9 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.595319,103.619653,smpn9.JPG,A,deskripsi saja
SMP Negeri 10 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.593324,103.622566,smpn10.JPG,A,deskripsi saja
SMP Negeri 11 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.618344,103.595990,smpn11.JPG,A,deskripsi saja
SMP Negeri 12 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.586369,103.638372,smpn1.JPG,A,deskripsi saja
SMP Negeri 14 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.640995,103.609674,smpn1.JPG,A,deskripsi saja
SMP Negeri 15 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.589904,103.648662,smpn1.JPG,A,deskripsi saja
SMP Negeri 16 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.632894,103.579082,smpn1.JPG,A,deskripsi saja
SMP Negeri 17 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.616328,103.574788,smpn1.JPG,A,deskripsi saja
SMP Negeri 18 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.657082,103.598772,smpn1.JPG,A,deskripsi saja
SMP Negeri 19 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.596655,103.566307,smpn1.JPG,A,deskripsi saja
SMP Negeri 20 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.642374,103.657993,smpn1.JPG,A,deskripsi saja
SMP Negeri 21 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.667298,103.602092,smpn1.JPG,A,deskripsi saja
SMP Negeri 22 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.633467,103.543401,smpn1.JPG,A,deskripsi saja
SMP Negeri 23 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.585050,103.626727,smpn1.JPG,A,deskripsi saja
SMP Negeri 24 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.643659,103.591499,smpn1.JPG,A,deskripsi saja
SMP Negeri 25 Kota Jambi,AJl. Abdul Muis No.28-RT.16,-1.638981,103.621541,smpn1.JPG,A,deskripsi saja
SMP Negeri 26 Kota Jambi,Jl. Abdul Muis No.28-RT.16,-1.615993,103.668678,smpn1.JPG,A,deskripsi saja